r0,r1,target,pred,success
24.924063,-40.310925,감촉,향기,실패
-24.001360000000002,6.0518017,가격,가격,성공
-37.885345,24.655207,디자인,디자인,성공
30.563194,38.494403999999996,디자인,디자인,성공
5.722494,-31.766737,용량,감촉,실패
6.302146,6.194645400000001,색상,감촉,실패
-3.7786839999999997,54.511207999999996,색상,색상,성공
-35.67747,-20.374163,용량,용량,성공
-24.827883,-42.219334,용량,용량,성공
-2.0746415000000002,-42.878494,향기,향기,성공
13.917392999999999,-36.978733,감촉,감촉,성공
-29.958609999999997,-44.393574,용량,용량,성공
48.04871,27.511538,색상,색상,성공
69.06376,-5.2232437,색상,가격,실패
7.128310000000001,35.643840000000004,색상,색상,성공
-11.662637,29.952640000000002,색상,색상,성공
-13.569035999999999,4.66911,가격,가격,성공
26.123562,22.608624,디자인,색상,실패
-21.600924,50.480118,디자인,디자인,성공
9.855065,3.736368,감촉,감촉,성공
-12.913223,41.15282,디자인,디자인,성공
-10.409277000000001,-47.57114,용량,용량,성공
-1.8985033,44.27814,디자인,용량,실패
-43.21455,-8.677677000000001,가격,가격,성공
35.84558,26.973598,디자인,색상,실패
-24.674454,-34.33958,용량,용량,성공
8.498805,-28.302898,감촉,감촉,성공
36.416985,-0.5236075,향기,향기,성공
-17.189833,-35.204792,용량,용량,성공
-17.221254000000002,26.838853999999998,디자인,디자인,성공
27.177303000000002,-14.490920999999998,향기,향기,성공
10.240752,-0.36659122,용량,감촉,실패
-41.785675,9.061378999999999,가격,가격,성공
7.245678999999999,52.479957999999996,색상,색상,성공
-27.696959000000003,18.513147,가격,디자인,실패
-35.528816,-27.114843,용량,용량,성공
5.6596,-7.9065824000000005,감촉,감촉,성공
46.74333,-12.215111,향기,향기,성공
-23.264484,-6.789534599999999,가격,가격,성공
39.65705,12.983672,가격,가격,성공
-18.608704,-1.3931476999999999,가격,가격,성공
-6.810115,47.55344,디자인,디자인,성공
-9.560145,36.008959999999995,색상,디자인,실패
2.5115695,-1.310944,감촉,감촉,성공
37.40745,-14.774457,향기,향기,성공
14.698769,-33.600390000000004,감촉,감촉,성공
18.703863000000002,18.271701999999998,향기,향기,성공
5.2844973,13.886341,가격,가격,성공
37.8133,23.73028,색상,색상,성공
10.008625,-14.9989,디자인,디자인,성공
-12.753753999999999,-6.1165433,감촉,가격,실패
-14.856597,40.299282,디자인,디자인,성공
-46.443092,-7.799243,가격,가격,성공
0.5973895,33.702459999999995,색상,색상,성공
24.295397,-15.507368,향기,향기,성공
8.698936999999999,53.95307,디자인,향기,실패
11.154666,-19.99802,감촉,감촉,성공
-21.950262,34.03569,디자인,디자인,성공
64.79893,1.2339468999999998,감촉,감촉,성공
-15.314915,-26.244885999999997,용량,용량,성공
-16.40456,-42.664703,용량,용량,성공
-28.473139,-47.021209999999996,용량,용량,성공
35.63661,-30.173336,향기,향기,성공
36.497,-23.072924,향기,향기,성공
-41.50848,25.987762,디자인,디자인,성공
-12.303482,3.9163,가격,가격,성공
-49.62038,7.6238565000000005,가격,가격,성공
-35.765278,34.573265,디자인,디자인,성공
61.522903,1.8557296000000003,향기,감촉,실패
6.856919,19.112133,색상,색상,성공
24.240602,-27.609606,감촉,향기,실패
-28.558752000000002,-23.17291,용량,용량,성공
40.758083,12.905075,가격,가격,성공
-21.19231,-20.723421,가격,감촉,실패
2.0914161,-22.066285999999998,가격,가격,성공
-0.72034127,18.083464000000003,용량,용량,성공
-52.292790000000004,6.33421,가격,가격,성공
11.796175,-34.647304999999996,향기,감촉,실패
22.695286,-18.106780999999998,향기,향기,성공
45.166509999999995,11.618509,가격,가격,성공
39.208847,1.5436796,향기,향기,성공
-14.041323,-18.822855,향기,가격,실패
6.194506,50.80653,색상,색상,성공
-29.76243,-19.381207999999997,용량,용량,성공
10.117948,22.126863,색상,색상,성공
13.971789999999999,-46.674659999999996,향기,향기,성공
-5.106028,-1.5623316999999999,디자인,색상,실패
13.366487,-0.058768693,디자인,감촉,실패
-6.181339299999999,15.397623999999999,디자인,용량,실패
-13.816891,-17.666483,가격,가격,성공
4.347721,53.920128000000005,디자인,색상,실패
32.062763000000004,-24.332051999999997,향기,향기,성공
-20.13179,-28.390068,용량,용량,성공
-34.60414,32.200565000000005,디자인,디자인,성공
3.8267657999999996,41.123825,디자인,색상,실패
67.96049000000001,1.7891426,디자인,디자인,성공
-39.640957,2.7650304,가격,가격,성공
8.102658,-47.815090000000005,향기,향기,성공
25.96189,-25.516327,가격,향기,실패
24.85517,-41.61359,향기,향기,성공
-3.2897769999999995,-13.9154415,가격,가격,성공
-40.084423,-21.156948,가격,가격,성공
-32.331635,-44.237404,용량,용량,성공
-24.375307,-6.975573,가격,가격,성공
25.855259,-1.8706470000000002,감촉,감촉,성공
37.924366,-25.29825,향기,향기,성공
30.403540000000003,16.717148,색상,감촉,실패
37.343185,8.410585000000001,감촉,감촉,성공
-59.041095999999996,-10.714079,색상,색상,성공
33.453945000000004,41.96476,디자인,디자인,성공
-9.1623535,-9.472141,감촉,향기,실패
45.093018,26.398546000000003,색상,색상,성공
-20.93463,-56.180035,용량,용량,성공
3.7644107000000004,16.70861,가격,색상,실패
0.4156857,-15.430407999999998,디자인,감촉,실패
-39.418465000000005,-7.00927,가격,가격,성공
-9.602112,-66.43435,용량,용량,성공
-3.40531,-28.311794,감촉,감촉,성공
-10.489483,-61.334373,용량,용량,성공
13.405982999999999,42.860073,색상,색상,성공
11.662788,-24.960476,감촉,감촉,성공
-43.006275,3.7715377999999995,가격,가격,성공
4.299731700000001,-28.185007000000002,감촉,감촉,성공
-47.11244,1.2061903,가격,가격,성공
-7.690687,-46.69794,용량,용량,성공
-15.471134,7.7693133,가격,가격,성공
-3.3082237,3.0843458,향기,향기,성공
-43.4524,-8.16669,용량,가격,실패
31.90768,-13.386733,향기,향기,성공
42.803913,41.001804,디자인,디자인,성공
-19.370739,-57.19602,용량,용량,성공
37.099564,-23.001675,향기,향기,성공
-12.372002,-42.382736,용량,용량,성공
-26.648552000000002,-24.441706,용량,용량,성공
3.7577373999999995,-45.0993,용량,용량,성공
23.700751999999998,-41.463337,향기,향기,성공
33.20373,-43.07948,향기,향기,성공
-1.4610626,32.173485,디자인,색상,실패
19.697186,49.767746,향기,향기,성공
-4.3227577,47.760315000000006,색상,디자인,실패
-26.250238,-21.724329,용량,용량,성공
-14.104979,10.474003999999999,가격,가격,성공
-29.719275,43.12754,디자인,디자인,성공
-12.427014999999999,27.966036,색상,디자인,실패
-22.780607,-24.756422,용량,용량,성공
-36.137638,-0.35210514,가격,가격,성공
51.517094,10.786095,가격,가격,성공
29.339823,12.733385,향기,향기,성공
29.977217,-15.933173000000002,향기,향기,성공
