pca0,pca1,target,pred,success
-0.17668052050410082,0.38867221535366514,1,1,1
-0.2462931429160322,-0.2006496180780429,0,0,1
0.31573617229633777,0.45719018402572703,2,2,1
-0.2415862416267665,-0.1582854242249679,2,2,1
-0.24602699520050544,-0.19979219813407129,1,2,0
0.3457927613649663,0.9898766028035664,3,3,1
-0.23718533268205397,-0.2025542371091663,1,1,1
-0.16411751564569385,0.37870038593434235,1,1,1
0.8286052297438353,0.29127678548538893,2,2,1
0.28538565989512404,0.4326052586372298,5,5,1
-0.2114515246586513,-0.2335097929065893,5,5,1
1.2968185732806823,1.4691500514050162,3,3,1
-0.23809158718331633,-0.18967049655221419,1,1,1
0.6420395063312666,0.7259815266616779,5,5,1
0.08866462481005147,-0.3269716897245562,5,5,1
-0.24602699520050544,-0.19979219813407098,0,2,0
-0.2499120256809933,-0.15917127720648336,1,1,1
-0.2385645876593157,-0.2907245662277357,0,0,1
-0.2554127423288991,-0.17177262377973512,4,4,1
-0.20400920742934847,-0.1444166554632423,1,1,1
-0.15982455334266363,0.6996319782346907,4,4,1
0.329305492982718,0.9700042199756154,3,3,1
-0.24602699520050544,-0.19979219813407098,0,2,0
-0.2469918534950916,-0.2050986173552108,2,2,1
-0.25647078448957006,-0.28848852498519806,4,4,1
-0.2420426827649906,-0.15466034748750065,1,1,1
-0.17621072397790838,0.3863101792680988,1,1,1
0.6776563891358631,1.17113308192376,3,3,1
-0.2395428990430696,-0.19790367612019943,0,0,1
0.2642838399569073,0.47600540928504353,0,0,1
-0.26602839928114375,-0.2938653446952569,0,0,1
-0.24602699520050544,-0.19979219813407098,2,2,1
-0.171250672373606,0.37278862106268673,3,3,1
-0.21998534721809776,0.12595364163529318,3,3,1
0.009836437775496885,-0.2690945997084299,2,2,1
-0.27897664357781893,-0.37131923873921047,4,4,1
0.35835635093228924,1.3581396473454408,3,3,1
-0.24602699520050544,-0.19979219813407098,1,2,0
-0.2188485024366485,-0.14855226383715972,4,4,1
-0.24334968858649,-0.1942456370946232,5,5,1
-0.24677999259161706,-0.27930534702965665,0,0,1
-0.2604272950232994,-0.2213324356196496,0,0,1
-0.0506013526891856,-0.30648765054876415,4,4,1
-0.2450660097865544,-0.20425132581920702,5,5,1
-0.24431773729319772,-0.2528772603110115,5,5,1
-0.16453963592576304,0.35725596003187765,2,2,1
-0.2444013000591867,-0.19400287260702215,2,2,1
-0.22161706290491529,0.12289405873179621,0,0,1
0.26665708714251946,0.4248393602123606,2,2,1
-0.18978962155899176,0.23465893720994613,3,3,1
-0.24743184366681023,-0.20568299103165028,2,2,1
-0.24741204837644548,-0.19918436962339722,0,1,0
-0.24605488148471522,-0.20066448674855375,5,5,1
-0.22587890458796567,-0.10747229641286665,2,2,1
-0.2493910965171783,-0.2050692179737633,2,2,1
0.06708111492983039,-0.33136811547849054,5,5,1
